"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Create Product","Create Product with Invalid Value(20 Test Cases).","0","0","20","0","0"
"","Admin API","Create product failure.","0","0","24","0","0"
"","Checkout order API","Checkout order failure.","0","0","18","0","0"
"","Product API","Search product by keyword successfully.","0","0","4","0","0"
"","Checkout","Checkout with empty cart.","0","0","1","0","0"
"","Create Product","Create product with valid values.","0","0","6","0","0"
"","Product API","Search product by keyword failure.","2","0","1","0","0"
"","Login Testing","Login Failed with incorrect email or password","0","0","4","0","0"
"","User API","Checkout logout behavior.","0","0","3","0","0"
"","Admin API","Create & delete product successfully.","0","0","3","0","0"
"","Checkout","Checkout with invalid value.","0","0","17","0","0"
"","User API","Checkout login failure.","0","0","7","0","0"
"","Product Page Testing","select a size of the product","0","0","1","0","0"
"","Product Page Testing","select a color of the product","0","0","1","0","0"
"","Product API","Search product by category failure.","1","0","2","0","0"
"","Checkout API","Checkout with successfully.","0","0","3","0","0"
"","Shopping Cart","Edit quantity in cart.","0","0","1","0","0"
"","Admin API","Delete product failure.","1","0","3","0","0"
"","User API","Checkout logout successfully.","0","0","1","0","0"
"","","Product Category Selection","0","0","3","0","0"
"","User API","Checkout login successfully.","0","0","1","0","0"
"","Product Page Testing","Given entered a product page without size selection","0","0","1","0","0"
"","Checkout","Checkout with valid values.","0","0","3","0","0"
"","Product API","Search product by category successfully.","0","0","4","0","0"
"","Product Page Testing","Add quantity and verify quantity value.","0","0","1","0","0"
"","Product Page Testing","Edit quantity without size selection","0","0","1","0","0"
"","Access Authorization","Using invalid access token to visit profile page.","0","0","1","0","0"
"","Product Page Testing","Given entered a product page and select a size of the product","0","0","1","0","0"
"","Product API","Search product by product ID failure.","0","0","2","0","0"
"","Get Order API","Get Order with failure.","0","0","3","0","0"
"","Product API","Search product by product ID successfully.","0","0","1","0","0"
"","","Search Product","0","0","3","0","0"
"","Get Order API","Get Order with successfully.","0","0","3","0","0"
"","User API","Get user profile failure.","0","0","3","0","0"
"","Shopping Cart","select a color of the product","0","0","1","0","0"
"","User API","Get user profile successfully.","0","0","1","0","0"
"","Shopping Cart","Remove product from cart.","0","0","1","0","0"
"","Product Page Testing","Select a size of the product and add 8 more quantity","0","0","1","0","0"
"","Login Testing","JWT token behavior in local storage and database.","0","0","1","0","0"
