"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 02 09:35:05 CST 2023","Thu Mar 02 09:35:09 CST 2023","4489","tests_web","test_web_create_product","","","","Create Product Failed.","
    Scenario: Create Product with Invalid Value (20 Test Cases)
    Given login success
    When create product with invalid values (According to Stylish-Test Case.xlsx - ""Create Product Failed"" sheet)
    Then related alert message should be shown
    "
"passed","Thu Mar 02 09:17:09 CST 2023","Thu Mar 02 09:17:10 CST 2023","1241","test_api","test_api_admin","","","","Create product API within invalid value.",""
"passed","Thu Mar 02 09:16:21 CST 2023","Thu Mar 02 09:16:22 CST 2023","1291","test_api","test_api_admin","","","","Create product API within invalid value.",""
"passed","Thu Mar 02 09:18:38 CST 2023","Thu Mar 02 09:18:42 CST 2023","4486","test_api","test_order","","","","Checkout API response within invalid value and get correct response and error message",""
"passed","Thu Mar 02 09:34:44 CST 2023","Thu Mar 02 09:34:48 CST 2023","4583","tests_web","test_web_create_product","","","","Create Product Failed.","
    Scenario: Create Product with Invalid Value (20 Test Cases)
    Given login success
    When create product with invalid values (According to Stylish-Test Case.xlsx - ""Create Product Failed"" sheet)
    Then related alert message should be shown
    "
"passed","Thu Mar 02 09:20:32 CST 2023","Thu Mar 02 09:20:45 CST 2023","12120","test_api","test_product","","","","Search product success with ""洋裝"" keywork",""
"passed","Thu Mar 02 09:25:31 CST 2023","Thu Mar 02 09:25:48 CST 2023","16781","tests_web","test_web_checkout","","","","Alert message should be shown correctly.","
    [condition] Should be login success
    Scenario: Checkout with empty cart
    When click checkout button without add product to shopping cart
    Then alert message ""尚未選購商品"" should be shown
    "
"passed","Thu Mar 02 09:34:34 CST 2023","Thu Mar 02 09:34:41 CST 2023","6502","tests_web","test_web_create_product","","","","Create Product Success.","
    Scenario: Create Product Success (3 Test Cases)
    Given login success
    When create product with valid values (According to Stylish-Test Case.xlsx -
        ""Create Product Success"" sheet)
    Then alert message ""Create Product Success"" should be shown
    And new product should be displayed on product list
    "
"passed","Thu Mar 02 09:20:47 CST 2023","Thu Mar 02 09:21:05 CST 2023","17686","test_api","test_product","","","","Search product success with ""襯"" keywork",""
"passed","Thu Mar 02 09:16:52 CST 2023","Thu Mar 02 09:16:53 CST 2023","1259","test_api","test_api_admin","","","","Create product API within invalid value.",""
"passed","Thu Mar 02 09:36:00 CST 2023","Thu Mar 02 09:36:05 CST 2023","4490","tests_web","test_web_create_product","","","","Create Product Failed.","
    Scenario: Create Product with Invalid Value (20 Test Cases)
    Given login success
    When create product with invalid values (According to Stylish-Test Case.xlsx - ""Create Product Failed"" sheet)
    Then related alert message should be shown
    "
"passed","Thu Mar 02 09:37:11 CST 2023","Thu Mar 02 09:37:13 CST 2023","2230","tests_web","test_web_create_product","","","","Create Product without login.","
    Scenario: Create Product without login
    When create product with valid values
    Then alert message ""Please Login first"" should be shown
    And should be redirected to login page
    "
"passed","Thu Mar 02 09:37:07 CST 2023","Thu Mar 02 09:37:08 CST 2023","1166","tests_web","test_web_create_product","","","","Create Product without login.","
    Scenario: Create Product without login
    When create product with valid values
    Then alert message ""Please Login first"" should be shown
    And should be redirected to login page
    "
"passed","Thu Mar 02 09:18:44 CST 2023","Thu Mar 02 09:18:49 CST 2023","4691","test_api","test_order","","","","Checkout API response within invalid value and get correct response and error message",""
"failed","Thu Mar 02 09:21:35 CST 2023","Thu Mar 02 09:21:36 CST 2023","313","test_api","test_product","","","","Search product with paging is over than 6.",""
"passed","Thu Mar 02 09:19:47 CST 2023","Thu Mar 02 09:19:51 CST 2023","4513","test_api","test_order","","","","Checkout API response within invalid value and get correct response and error message",""
"passed","Thu Mar 02 09:37:28 CST 2023","Thu Mar 02 09:37:30 CST 2023","1747","tests_web","test_web_login","","","","Login failure with invalid email & password.","
    Scenario: Login Failed with incorrect email or password
    When member login with incorrect email / password
    Then login failed with error message
    "
"passed","Thu Mar 02 09:24:47 CST 2023","Thu Mar 02 09:24:48 CST 2023","311","test_api","test_user","","","","Logout failed and expected result should be correct.",""
"passed","Thu Mar 02 09:19:53 CST 2023","Thu Mar 02 09:19:58 CST 2023","4474","test_api","test_order","","","","Checkout API response within invalid value and get correct response and error message",""
"passed","Thu Mar 02 09:19:25 CST 2023","Thu Mar 02 09:19:30 CST 2023","4449","test_api","test_order","","","","Checkout API response within invalid value and get correct response and error message",""
"passed","Thu Mar 02 09:16:00 CST 2023","Thu Mar 02 09:16:04 CST 2023","4723","test_api","test_api_admin","","","","Create & delete product API within valid value and get new product id",""
"passed","Thu Mar 02 09:16:31 CST 2023","Thu Mar 02 09:16:32 CST 2023","1257","test_api","test_api_admin","","","","Create product API within invalid value.",""
"passed","Thu Mar 02 09:30:03 CST 2023","Thu Mar 02 09:30:26 CST 2023","22479","tests_web","test_web_checkout","","","","Related alert message should be shown with invalid value.","
    Scenario: Checkout with invalid values (17 Test Cases)
    Given login success
    And add product to shopping cart
    When checkout with invalid value (According to Stylish-Test Case.xlsx -     Checkout with Invalid Value"" sheet)
    Then related alert message should be shown
    "
"failed","Thu Mar 02 09:21:33 CST 2023","Thu Mar 02 09:21:33 CST 2023","312","test_api","test_product","","","","Search product with paging is less than zero.",""
"passed","Thu Mar 02 09:16:48 CST 2023","Thu Mar 02 09:16:49 CST 2023","1307","test_api","test_api_admin","","","","Create product API within invalid value.",""
